LAT,LOG,YEAR,Month,Street
41.944041559,-87.645090868,2020,3,BROADWAY
41.794199485,-87.631925482,2020,3,WELLS ST
41.966827098,-87.687601254,2020,3,LINCOLN AVE
41.86294755,-87.666434212,2020,3,ASHLAND AVE
41.942428846,-87.747110504,2020,3,CICERO AVE
41.794010898,-87.69366016,2020,3,CALIFORNIA AVE
41.89481082,-87.756763201,2020,3,CHICAGO AVE
41.950714659,-87.81070211,2020,3,ODELL AVE
41.757518821,-87.564065519,2020,3,ESSEX AVE
41.728579397,-87.647843987,2020,3,VINCENNES AVE
41.945337474,-87.789829326,2020,3,NEENAH AVE
41.777730323,-87.785078805,2020,3,63RD ST
41.735973288,-87.658068379,2020,3,87TH ST
41.884386284,-87.626098867,2020,3,WABASH AVE
41.744195286,-87.575639254,2020,3,SOUTH CHICAGO AVE
41.9524256,-87.817000875,2020,3,IRVING PARK RD
41.95379275,-87.72521004,2020,3,IRVING PARK RD
41.846241455,-87.705238924,2020,3,KEDZIE AVE
41.817927066,-87.704215243,2020,3,KEDZIE AVE
41.771583591,-87.701655868,2020,3,MARQUETTE RD
41.997817807,-87.690033035,2020,3,WESTERN AVE
41.954111557,-87.691318323,2020,3,IRVING PARK RD
41.857623998,-87.633275853,2020,3,18TH ST
41.709659484,-87.681573809,2020,3,WESTERN AVE
41.70794808,-87.670443558,2020,3,LONGWOOD DR
41.866348591,-87.72019539,2020,3,ROOSEVELT RD
41.721530538,-87.662838889,2020,3,ASHLAND AVE
41.889025458,-87.666933316,2020,3,ASHLAND AVE
41.938985969,-87.806929065,2020,3,HARLEM AVE
41.910676883,-87.672126285,2020,3,NORTH AVE
41.924523167,-87.714590861,2020,3,FULLERTON AVE
41.808901664,-87.606696966,2020,3,COTTAGE GROVE AVE
41.894981332,-87.763042791,2020,3,CHICAGO AVE
41.94830939,-87.784042329,2020,3,WARWICK AVE
41.938978889,-87.743866693,2020,3,BELMONT AVE
41.89651683,-87.64681455,2020,3,CHICAGO AVE
42.008751235,-87.680910719,2020,3,LUNT AVE
41.913028927,-87.632697069,2020,3,LA SALLE DR
41.89123767,-87.62978479,2020,3,DEARBORN ST
41.874071532,-87.739328978,2020,3,CONGRESS PKWY
41.801186543,-87.674652181,2020,3,DAMEN AVE
41.786393417,-87.688862363,2020,3,ROCKWELL ST
41.920688934,-87.776926165,2020,3,GRAND AVE
41.766637458,-87.663982209,2020,3,ASHLAND AVE
41.938846966,-87.64450523,2020,3,BROADWAY
41.773178389,-87.733533038,2020,3,66TH ST
41.956273833,-87.712840433,2020,3,KIMBALL AVE
41.75335698,-87.70264255,2020,3,KEDZIE AVE
41.856684533,-87.708381958,2020,3,OGDEN AVE
41.924013878,-87.75137151,2020,3,LAVERGNE AVE
41.940909163,-87.63936916,2020,3,LAKE SHORE DR
41.910850362,-87.66044504,2020,3,NORTH AVE
41.751073342,-87.624390444,2020,3,79TH ST
41.793456251,-87.580318542,2020,3,LAKE SHORE DR SB
41.872680932,-87.67670729,2020,3,OGDEN AVE
41.89305843,-87.635537691,2020,3,ONTARIO ST
41.958551838,-87.64623776,2020,3,LAKE SHORE DR SB
41.772615436,-87.630099678,2020,3,WENTWORTH AVE
41.736416655,-87.625594588,2020,3,LAFAYETTE AVE
41.751407707,-87.604272072,2020,3,79TH ST
41.89275439,-87.617560345,2020,3,OHIO ST
41.803877147,-87.743204337,2020,3,CICERO AVE
41.867060308,-87.645770149,2020,3,ROOSEVELT RD
41.885653668,-87.774688353,2020,3,AUSTIN BLVD
41.836359544,-87.623527483,2020,3,MICHIGAN AVE
41.908658882,-87.775436113,2020,3,AUSTIN BLVD
41.772263136,-87.727329176,2020,3,KEELER AVE
41.906196556,-87.769290396,2020,3,MASSASOIT AVE
41.795805915,-87.76246439,2020,3,ARCHER AVE
41.882362165,-87.763408224,2020,3,PINE AVE
41.936335868,-87.649286281,2020,3,HALSTED ST
41.884585371,-87.620792153,2020,3,COLUMBUS DR
41.953554327,-87.745667551,2020,3,IRVING PARK RD
41.938871861,-87.746726537,2020,3,CICERO AVE
41.763610093,-87.671215754,2020,3,WOLCOTT AVE
41.80794991,-87.726095724,2020,3,47TH ST
41.998223964,-87.665654951,2020,3,GLENWOOD AVE
41.654838287,-87.542451282,2020,3,MACKINAW AVE
41.879646976,-87.749534129,2020,3,LAVERGNE AVE
41.892094137,-87.611569884,2020,3,GRAND AVE
41.756868896,-87.605285658,2020,3,76TH ST
42.001355087,-87.696903158,2020,3,ALBION AVE
41.79682895,-87.59643826,2020,3,WOODLAWN AVE
41.766541198,-87.65157871,2020,3,ABERDEEN ST
41.726145249,-87.581422157,2020,3,93RD ST
41.751322102,-87.609354637,2020,3,79TH ST
41.777934743,-87.615714552,2020,3,DR MARTIN LUTHER KING JR DR
41.871576709,-87.624309516,2020,3,MICHIGAN AVE
41.758964216,-87.611330533,2020,3,RHODES AVE
41.971973816,-87.72990244,2020,3,ARGYLE ST
41.877195447,-87.725671311,2020,3,JACKSON BLVD
41.735946385,-87.645059946,2020,3,VINCENNES AVE
41.877590533,-87.676599117,2020,3,JACKSON BLVD
41.793600625,-87.625526283,2020,3,STATE ST
41.871534975,-87.627370816,2020,3,STATE ST
41.924283504,-87.751351964,2020,3,FULLERTON AVE
41.852959679,-87.632152004,2020,3,CERMAK RD
41.930110626,-87.785823503,2020,3,NARRAGANSETT AVE
41.88690522,-87.647829069,2020,3,FULTON MARKET
41.754423678,-87.566432775,2020,3,YATES BLVD
42.004410858,-87.661585671,2020,3,COLUMBIA AVE
41.732340465,-87.648465249,2020,3,89TH ST
41.909672002,-87.746261304,2020,3,CICERO AVE
41.887804621,-87.765268498,2020,3,CENTRAL AVE
41.915688926,-87.70699912,2020,3,CORTLAND ST
41.839210265,-87.734290231,2020,3,KOSTNER AVE
41.947401735,-87.649636584,2020,3,HALSTED ST
41.942612691,-87.745158091,2020,3,KEATING AVE
41.982527973,-87.674735708,2020,3,RAVENSWOOD AVE
41.808474558,-87.684280038,2020,3,WESTERN AVE
41.916446087,-87.765877017,2020,3,CENTRAL AVE
41.975236253,-87.747568615,2020,3,FOSTER AVE
41.991928756,-87.655296396,2020,3,SHERIDAN RD
41.703563728,-87.535138948,2020,3,EWING AVE
41.758698494,-87.604987441,2020,3,75TH ST
41.72273739,-87.575508032,2020,3,JEFFERY AVE
41.981951645,-87.787689957,2020,3,GREGORY ST
41.912514278,-87.670038711,2020,3,PAULINA ST
41.775464286,-87.573083503,2020,3,MARQUETTE DR
41.986577215,-87.710226614,2020,3,ARDMORE AVE
41.954487567,-87.662293496,2020,3,IRVING PARK RD
41.929293216,-87.784635288,2020,3,SCHUBERT AVE
41.836937493,-87.729154216,2020,3,31ST ST
41.75616061,-87.634583596,2020,3,STEWART AVE
41.808967709,-87.633519405,2020,3,47TH ST
41.863281591,-87.721284922,2020,3,AVERS AVE
41.863281591,-87.721284922,2020,3,AVERS AVE
41.737326305,-87.54044816,2020,3,LAKE SHORE DR
41.894903302,-87.620743726,2020,3,HURON ST
41.889333215,-87.630282472,2020,3,KINZIE ST
41.743994984,-87.551257603,2020,3,COMMERCIAL AVE
41.899322279,-87.618738433,2020,3,LAKE SHORE DR SB
41.910468002,-87.684723766,2020,3,NORTH AVE
